sku_id,category,name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity
1,Fruits & Vegetables,Onion,25.0,16.0,3,21.0,1000,FALSE,1
2,Fruits & Vegetables,Tomato Hybrid,42.0,16.0,3,35.0,1000,FALSE,1
3,Fruits & Vegetables,Tender Coconut,51.0,15.0,3,43.0,58,FALSE,1
4,Fruits & Vegetables,Coriander Leaves,20.0,15.0,3,17.0,100,FALSE,100
5,Fruits & Vegetables,Ladies Finger ,14.0,14.0,3,12.0,250,FALSE,250
6,Fruits & Vegetables,Potato,35.0,17.0,3,29.0,1000,FALSE,1
7,Fruits & Vegetables,Lemon,75.0,16.0,3,63.0,200,FALSE,200
8,Fruits & Vegetables,Watermelon ,58.0,15.0,3,49.0,58,FALSE,1
9,Fruits & Vegetables,Capsicum Green ,23.0,17.0,3,19.0,250,FALSE,250
10,Fruits & Vegetables,Chilli Green ,19.0,15.0,3,16.0,100,FALSE,100
11,Fruits & Vegetables,Banana Robusta,29.0,17.0,3,24.0,348,FALSE,6
12,Fruits & Vegetables,Garlic Indian ,11.0,18.0,3,9.0,100,FALSE,100
13,Fruits & Vegetables,Cauliflower,26.0,15.0,3,22.0,58,FALSE,1
14,Fruits & Vegetables,Ginger,14.0,14.0,3,12.0,200,FALSE,200
15,Fruits & Vegetables,Spinach,19.0,15.0,3,16.0,250,FALSE,250
16,Fruits & Vegetables,Muskmelon,42.0,16.0,3,35.0,58,FALSE,1
17,Fruits & Vegetables,Cabbage ,15.0,13.0,3,13.0,58,FALSE,1
18,Fruits & Vegetables,Methi,30.0,16.0,3,25.0,250,FALSE,250
19,Fruits & Vegetables,Broccoli,36.0,16.0,3,30.0,500,FALSE,500
20,Fruits & Vegetables,Sapota,30.0,16.0,3,25.0,348,FALSE,6
21,Fruits & Vegetables,Onion,68.0,16.0,3,57.0,3000,FALSE,3
22,Fruits & Vegetables,Potato,100.0,16.0,3,84.0,3000,FALSE,3
23,Fruits & Vegetables,Orange Nagpur,82.0,15.0,3,69.0,232,FALSE,4
24,Fruits & Vegetables,Mint Leaves ,11.0,18.0,3,9.0,100,FALSE,100
25,Fruits & Vegetables,Beans French,33.0,15.0,3,28.0,250,FALSE,250
26,Fruits & Vegetables,Bottle Gourd ,26.0,15.0,3,22.0,58,FALSE,1
27,Fruits & Vegetables,Banana Elaichi ,58.0,15.0,3,49.0,348,FALSE,6
28,Fruits & Vegetables,Coconut Big,36.0,16.0,3,30.0,58,FALSE,1
29,Fruits & Vegetables,Curry Leaves,13.0,15.0,3,11.0,50,FALSE,50
30,Fruits & Vegetables,Brinjal Bharta,19.0,15.0,3,16.0,58,FALSE,1
31,Fruits & Vegetables,Lettuce Iceberg,25.0,16.0,3,21.0,250,FALSE,250
32,Fruits & Vegetables,Papaya,54.0,16.0,3,45.0,58,FALSE,1
33,Fruits & Vegetables,Apple Shimla,142.0,16.0,3,119.0,232,FALSE,4
34,Fruits & Vegetables,Bitter Gourd,18.0,16.0,3,15.0,250,FALSE,250
35,Fruits & Vegetables,Brinjal Small,18.0,16.0,3,15.0,250,FALSE,250
36,Fruits & Vegetables,Sweet Corn,36.0,16.0,3,30.0,116,FALSE,2
37,Fruits & Vegetables,Spring Onion ,18.0,16.0,3,15.0,250,FALSE,250
38,Fruits & Vegetables,Bell Peppers Red & Yellow ,118.0,16.0,3,99.0,116,FALSE,2
39,Fruits & Vegetables,Pomegranate ,106.0,16.0,3,89.0,116,FALSE,2
40,Fruits & Vegetables,Sweet Lime,30.0,16.0,3,25.0,116,FALSE,2
41,Fruits & Vegetables,Baby Potato,19.0,15.0,3,16.0,500,FALSE,500
42,Fruits & Vegetables,Coccinia,32.0,15.0,3,27.0,250,FALSE,250
43,Fruits & Vegetables,Guava,54.0,16.0,3,45.0,232,FALSE,4
44,Fruits & Vegetables,Apple Washington,177.0,15.0,3,149.0,232,FALSE,4
45,Fruits & Vegetables,Amla,32.0,15.0,3,27.0,250,FALSE,250
46,Fruits & Vegetables,Beans Cluster,30.0,16.0,3,25.0,250,FALSE,250
47,Fruits & Vegetables,Apple Royal Gala,189.0,15.0,3,159.0,232,FALSE,4
48,Fruits & Vegetables,Chilli Bhaji,30.0,16.0,3,25.0,250,FALSE,250
49,Fruits & Vegetables,Lettuce Green,23.0,17.0,3,19.0,100,FALSE,100
50,Fruits & Vegetables,Baby Corn Peeled,35.0,17.0,3,29.0,250,FALSE,250
51,Fruits & Vegetables,Mixed Sprouts,35.0,17.0,3,29.0,200,FALSE,200
52,Fruits & Vegetables,Zucchini Green,35.0,17.0,3,29.0,250,FALSE,250
53,Fruits & Vegetables,Beans Broad,42.0,16.0,3,35.0,250,FALSE,250
54,Fruits & Vegetables,Raw Banana,20.0,15.0,6,17.0,500,FALSE,500
55,Fruits & Vegetables,Colocasia ,29.0,17.0,6,24.0,500,FALSE,500
56,Fruits & Vegetables,Tomato Cherry ,35.0,17.0,3,29.0,200,FALSE,200
57,Fruits & Vegetables,Sweet Potato ,38.0,15.0,3,32.0,500,FALSE,500
58,Fruits & Vegetables,Pineapple Slice,89.0,15.0,3,75.0,200,FALSE,200
59,Fruits & Vegetables,Orange,54.0,16.0,3,45.0,116,FALSE,2
60,Fruits & Vegetables,Dragon Fruit Imported,70.0,15.0,3,59.0,58,FALSE,1
61,Fruits & Vegetables,Zucchini Yellow,42.0,16.0,3,35.0,250,FALSE,500
62,Fruits & Vegetables,Apple Kinnaur,142.0,16.0,6,119.0,232,FALSE,4
63,Fruits & Vegetables,Pineapple,94.0,15.0,3,79.0,58,FALSE,1
64,Fruits & Vegetables,Basil,20.0,15.0,3,17.0,100,FALSE,100
65,Fruits & Vegetables,Parsley,17.0,17.0,3,14.0,100,FALSE,100
66,Fruits & Vegetables,Ridge Gourd,30.0,16.0,3,25.0,500,FALSE,500
67,Fruits & Vegetables,Papaya Cut,46.0,15.0,3,39.0,200,FALSE,200
68,Fruits & Vegetables,Pomegranate Peeled,58.0,15.0,2,49.0,100,FALSE,100
69,Fruits & Vegetables,Pear Green Imported,82.0,15.0,3,69.0,116,FALSE,2
70,Fruits & Vegetables,Guava Thai,70.0,15.0,3,59.0,116,FALSE,2
71,Fruits & Vegetables,Lettuce Red,20.0,15.0,3,17.0,100,FALSE,100
72,Fruits & Vegetables,Mango Raw,60.0,16.0,3,50.0,500,FALSE,500
73,Fruits & Vegetables,Biryani /Pulav Mix,58.0,15.0,3,49.0,250,FALSE,250
74,Fruits & Vegetables,Banana Nendran,54.0,16.0,6,45.0,500,FALSE,500
75,Fruits & Vegetables,Pumpkin Cut,30.0,16.0,3,25.0,200,FALSE,200
76,Fruits & Vegetables,Banana Red,54.0,16.0,6,45.0,500,FALSE,500
77,Fruits & Vegetables,Radish White,23.0,17.0,6,19.0,500,FALSE,500
78,Fruits & Vegetables,Avocado Indian Premium,177.0,15.0,3,149.0,58,FALSE,1
79,Fruits & Vegetables,Banana Leaf,12.0,16.0,2,10.0,58,FALSE,1
80,Fruits & Vegetables,Sponge Gourd,25.0,16.0,2,21.0,300,FALSE,300
81,Fruits & Vegetables,Zama Organics Carrot,20.0,15.0,3,17.0,250,FALSE,250
82,Fruits & Vegetables,Safal Frozen - Mixed Vegetables,110.0,4.0,2,105.0,1000,FALSE,1
83,Fruits & Vegetables,Zama Organics Sweet Potato,37.0,16.0,3,31.0,250,FALSE,250
84,Fruits & Vegetables,Beetroot,16.0,18.0,3,13.0,500,FALSE,500
85,Fruits & Vegetables,Capsicum,26.0,19.0,3,21.0,500,FALSE,500
86,Fruits & Vegetables,Carrot,19.0,21.0,3,15.0,500,FALSE,500
87,Fruits & Vegetables,Garlic,17.0,23.0,3,13.0,200,FALSE,200
88,Fruits & Vegetables,Carrot,13.0,15.0,0,11.0,250,TRUE,200
89,Fruits & Vegetables,Beetroot,11.0,18.0,0,9.0,250,TRUE,250
90,Fruits & Vegetables,Moong Sprouts,35.0,17.0,0,29.0,200,TRUE,200
91,Fruits & Vegetables,Safal Frozen Mixed Vegetables,60.0,5.0,0,57.0,500,TRUE,500
92,Fruits & Vegetables,Safal Frozen Corn,41.0,4.0,0,39.0,200,TRUE,200
93,Fruits & Vegetables,Safal Frozen - Sweet Corn,160.0,5.0,0,152.0,1000,TRUE,1
94,Cooking Essentials,Maggi 2 Minute Masala Noodles,12.0,0.0,6,12.0,70,FALSE,70
95,Cooking Essentials,iD Idli & Dosa Batter ,80.0,15.0,6,68.0,1000,FALSE,1
96,Cooking Essentials,Tata Salt,24.0,0.0,6,24.0,1000,FALSE,1
97,Cooking Essentials,Arden Eggs White,97.0,0.0,4,97.0,696,FALSE,12
